relpath,district,split
Khulna/khl1.wav,Khulna,train
Khulna/khl10.wav,Khulna,train
Khulna/khl100.wav,Khulna,val
Khulna/khl101.wav,Khulna,test
Khulna/khl102.wav,Khulna,train
Khulna/khl103.wav,Khulna,train
Khulna/khl104.wav,Khulna,train
Khulna/khl105.wav,Khulna,train
Khulna/khl106.wav,Khulna,val
Khulna/khl107.wav,Khulna,train
Khulna/khl108.wav,Khulna,test
Khulna/khl109.wav,Khulna,train
Khulna/khl11.wav,Khulna,val
Khulna/khl110.wav,Khulna,train
Khulna/khl111.wav,Khulna,train
Khulna/khl112.wav,Khulna,train
Khulna/khl113.wav,Khulna,train
Khulna/khl114.wav,Khulna,train
Khulna/khl115.wav,Khulna,train
Khulna/khl116.wav,Khulna,train
Khulna/khl117.wav,Khulna,train
Khulna/khl118.wav,Khulna,train
Khulna/khl119.wav,Khulna,train
Khulna/khl12.wav,Khulna,train
Khulna/khl120.wav,Khulna,train
Khulna/khl121.wav,Khulna,train
Khulna/khl122.wav,Khulna,train
Khulna/khl123.wav,Khulna,train
Khulna/khl124.wav,Khulna,train
Khulna/khl125.wav,Khulna,train
Khulna/khl126.wav,Khulna,train
Khulna/khl127.wav,Khulna,train
Khulna/khl128.wav,Khulna,train
Khulna/khl129.wav,Khulna,train
Khulna/khl13.wav,Khulna,train
Khulna/khl130.wav,Khulna,train
Khulna/khl131.wav,Khulna,train
Khulna/khl132.wav,Khulna,train
Khulna/khl133.wav,Khulna,train
Khulna/khl134.wav,Khulna,train
Khulna/khl135.wav,Khulna,train
Khulna/khl136.wav,Khulna,train
Khulna/khl137.wav,Khulna,train
Khulna/khl138.wav,Khulna,test
Khulna/khl139.wav,Khulna,train
Khulna/khl14.wav,Khulna,train
Khulna/khl140.wav,Khulna,val
Khulna/khl141.wav,Khulna,train
Khulna/khl142.wav,Khulna,val
Khulna/khl143.wav,Khulna,train
Khulna/khl144.wav,Khulna,train
Khulna/khl145.wav,Khulna,train
Khulna/khl146.wav,Khulna,train
Khulna/khl147.wav,Khulna,test
Khulna/khl148.wav,Khulna,train
Khulna/khl149.wav,Khulna,train
Khulna/khl15.wav,Khulna,train
Khulna/khl150.wav,Khulna,train
Khulna/khl151.wav,Khulna,val
Khulna/khl152.wav,Khulna,test
Khulna/khl153.wav,Khulna,train
Khulna/khl154.wav,Khulna,train
Khulna/khl155.wav,Khulna,train
Khulna/khl156.wav,Khulna,val
Khulna/khl157.wav,Khulna,val
Khulna/khl158.wav,Khulna,train
Khulna/khl159.wav,Khulna,val
Khulna/khl16.wav,Khulna,test
Khulna/khl160.wav,Khulna,train
Khulna/khl161.wav,Khulna,train
Khulna/khl162.wav,Khulna,train
Khulna/khl163.wav,Khulna,train
Khulna/khl164.wav,Khulna,train
Khulna/khl165.wav,Khulna,train
Khulna/khl166.wav,Khulna,train
Khulna/khl167.wav,Khulna,train
Khulna/khl168.wav,Khulna,train
Khulna/khl169.wav,Khulna,train
Khulna/khl17.wav,Khulna,train
Khulna/khl170.wav,Khulna,test
Khulna/khl171.wav,Khulna,test
Khulna/khl172.wav,Khulna,train
Khulna/khl173.wav,Khulna,train
Khulna/khl174.wav,Khulna,train
Khulna/khl175.wav,Khulna,test
Khulna/khl176.wav,Khulna,train
Khulna/khl177.wav,Khulna,val
Khulna/khl178.wav,Khulna,train
Khulna/khl179.wav,Khulna,train
Khulna/khl18.wav,Khulna,test
Khulna/khl180.wav,Khulna,train
Khulna/khl181.wav,Khulna,train
Khulna/khl182.wav,Khulna,val
Khulna/khl183.wav,Khulna,test
Khulna/khl184.wav,Khulna,train
Khulna/khl185.wav,Khulna,train
Khulna/khl186.wav,Khulna,train
Khulna/khl187.wav,Khulna,test
Khulna/khl188.wav,Khulna,train
Khulna/khl189.wav,Khulna,train
Khulna/khl19.wav,Khulna,train
Khulna/khl190.wav,Khulna,train
Khulna/khl191.wav,Khulna,train
Khulna/khl192.wav,Khulna,train
Khulna/khl193.wav,Khulna,train
Khulna/khl194.wav,Khulna,train
Khulna/khl195.wav,Khulna,test
Khulna/khl196.wav,Khulna,train
Khulna/khl197.wav,Khulna,train
Khulna/khl198.wav,Khulna,train
Khulna/khl199.wav,Khulna,train
Khulna/khl2.wav,Khulna,train
Khulna/khl20.wav,Khulna,train
Khulna/khl200.wav,Khulna,train
Khulna/khl201.wav,Khulna,train
Khulna/khl202.wav,Khulna,test
Khulna/khl203.wav,Khulna,test
Khulna/khl204.wav,Khulna,train
Khulna/khl205.wav,Khulna,train
Khulna/khl206.wav,Khulna,train
Khulna/khl207.wav,Khulna,test
Khulna/khl208.wav,Khulna,train
Khulna/khl209.wav,Khulna,train
Khulna/khl21.wav,Khulna,train
Khulna/khl210.wav,Khulna,test
Khulna/khl211.wav,Khulna,train
Khulna/khl212.wav,Khulna,val
Khulna/khl213.wav,Khulna,val
Khulna/khl214.wav,Khulna,train
Khulna/khl215.wav,Khulna,train
Khulna/khl216.wav,Khulna,test
Khulna/khl217.wav,Khulna,train
Khulna/khl218.wav,Khulna,val
Khulna/khl219.wav,Khulna,train
Khulna/khl22.wav,Khulna,train
Khulna/khl220.wav,Khulna,train
Khulna/khl221.wav,Khulna,val
Khulna/khl222.wav,Khulna,train
Khulna/khl223.wav,Khulna,train
Khulna/khl224.wav,Khulna,train
Khulna/khl225.wav,Khulna,train
Khulna/khl226.wav,Khulna,test
Khulna/khl227.wav,Khulna,train
Khulna/khl228.wav,Khulna,train
Khulna/khl229.wav,Khulna,train
Khulna/khl23.wav,Khulna,train
Khulna/khl230.wav,Khulna,train
Khulna/khl231.wav,Khulna,test
Khulna/khl232.wav,Khulna,test
Khulna/khl233.wav,Khulna,train
Khulna/khl234.wav,Khulna,test
Khulna/khl235.wav,Khulna,test
Khulna/khl236.wav,Khulna,train
Khulna/khl237.wav,Khulna,train
Khulna/khl238.wav,Khulna,train
Khulna/khl239.wav,Khulna,val
